Metric,Value
Total Orders,660
Gross Revenue,$42489.35
Net Revenue (after tax),$39559.25
Total Cost,$19630.20
Profit,$19929.05
Profit Margin %,50.38%
Total Items,4636.9
Average Order Value,$64.08
Express Order Rate %,9.55%
,
REVENUE QUALITY,
Refunds Total,$193.41
Refund Rate %,0.46%
Refund Order Count,4
Discounts Total,$1913.66
Discount Rate %,4.50%
Tax Total,$2736.69
,
AOV DISTRIBUTION,
AOV Mean,$64.08
AOV Median,$45.84
AOV 25th Percentile,$27.29
AOV 75th Percentile,$72.76
,
CUSTOMER METRICS,
Unique Customers,356
New Customers,356
Returning Customers,0
New Customer Share %,100.00%
Returning Share %,0.00%
Returning/New Ratio,0.00
30-Day Repeat,96/356
30-Day Repeat Rate %,26.97%
Top 10 Revenue Share %,25.20%
,
ACCOUNTS RECEIVABLE,
Unpaid Orders,52
Unpaid Balance,$2374.68
Unpaid Share %,7.88%
,
WASH & FOLD,
Total Pounds,2451.9 lbs
